Day_Index,Date_Range,Segment,Sessions
11/25/15,"Oct 1, 2015 - Jan 23, 2017",New Users,64
11/25/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,35
11/26/15,"Oct 1, 2015 - Jan 23, 2017",New Users,51
11/26/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,29
11/27/15,"Oct 1, 2015 - Jan 23, 2017",New Users,45
11/27/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,26
11/28/15,"Oct 1, 2015 - Jan 23, 2017",New Users,20
11/28/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,5
11/29/15,"Oct 1, 2015 - Jan 23, 2017",New Users,32
11/29/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,20
11/30/15,"Oct 1, 2015 - Jan 23, 2017",New Users,136
11/30/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
12/1/15,"Oct 1, 2015 - Jan 23, 2017",New Users,60
12/1/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,38
12/2/15,"Oct 1, 2015 - Jan 23, 2017",New Users,87
12/2/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,34
12/3/15,"Oct 1, 2015 - Jan 23, 2017",New Users,70
12/3/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,42
12/4/15,"Oct 1, 2015 - Jan 23, 2017",New Users,53
12/4/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,41
12/5/15,"Oct 1, 2015 - Jan 23, 2017",New Users,18
12/5/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,15
12/6/15,"Oct 1, 2015 - Jan 23, 2017",New Users,45
12/6/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,16
12/7/15,"Oct 1, 2015 - Jan 23, 2017",New Users,144
12/7/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,58
12/8/15,"Oct 1, 2015 - Jan 23, 2017",New Users,68
12/8/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,46
12/9/15,"Oct 1, 2015 - Jan 23, 2017",New Users,88
12/9/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,53
12/10/15,"Oct 1, 2015 - Jan 23, 2017",New Users,71
12/10/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,54
12/11/15,"Oct 1, 2015 - Jan 23, 2017",New Users,62
12/11/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
12/12/15,"Oct 1, 2015 - Jan 23, 2017",New Users,27
12/12/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,21
12/13/15,"Oct 1, 2015 - Jan 23, 2017",New Users,38
